StartTime,EndTime,MainCategory
2016-11-19 12:15:51.300000-06:00,2016-11-19 12:15:55.100000-06:00,DrinkingDominantHand
2016-11-19 12:18:19.300000-06:00,2016-11-19 12:18:21.900000-06:00,DrinkingDominantHand
2016-11-19 12:19:53.400000-06:00,2016-11-19 12:19:56-06:00,DrinkingDominantHand
2016-11-19 12:24:21.800000-06:00,2016-11-19 12:24:23.400000-06:00,FeedingDominantHand
2016-11-19 12:24:49.300000-06:00,2016-11-19 12:24:50.500000-06:00,FeedingDominantHand
2016-11-19 12:25:15.700000-06:00,2016-11-19 12:25:16.900000-06:00,FeedingDominantHand
2016-11-19 12:25:53.800000-06:00,2016-11-19 12:25:55.300000-06:00,FeedingDominantHand
2016-11-19 12:26:35-06:00,2016-11-19 12:26:36.400000-06:00,FeedingDominantHand
2016-11-19 12:27:14.900000-06:00,2016-11-19 12:27:17.100000-06:00,DrinkingDominantHand
2016-11-19 12:27:22.800000-06:00,2016-11-19 12:27:23.800000-06:00,FeedingDominantHand
2016-11-19 12:27:59.400000-06:00,2016-11-19 12:28:00.500000-06:00,FeedingDominantHand
2016-11-19 12:28:27.500000-06:00,2016-11-19 12:28:29.500000-06:00,DrinkingDominantHand
2016-11-19 12:28:37-06:00,2016-11-19 12:28:38.100000-06:00,FeedingDominantHand
2016-11-19 12:29:24.500000-06:00,2016-11-19 12:29:25.500000-06:00,FeedingDominantHand
2016-11-19 12:29:39.100000-06:00,2016-11-19 12:29:41.400000-06:00,DrinkingDominantHand
2016-11-19 12:29:52-06:00,2016-11-19 12:29:54.600000-06:00,FeedingDominantHand
2016-11-19 12:30:52.800000-06:00,2016-11-19 12:30:55-06:00,DrinkingDominantHand
2016-11-19 12:31:03.300000-06:00,2016-11-19 12:31:07.800000-06:00,FeedingDominantHand
2016-11-19 12:32:50.900000-06:00,2016-11-19 12:32:55.100000-06:00,FeedingDominantHand
2016-11-19 12:33:49.900000-06:00,2016-11-19 12:33:54.100000-06:00,DrinkingDominantHand
2016-11-19 12:34:01.300000-06:00,2016-11-19 12:34:05.300000-06:00,FeedingDominantHand
2016-11-19 12:34:38.900000-06:00,2016-11-19 12:34:41.400000-06:00,FeedingDominantHand
2016-11-19 12:35:30-06:00,2016-11-19 12:35:33.600000-06:00,FeedingDominantHand
2016-11-19 12:35:59.500000-06:00,2016-11-19 12:36:03.200000-06:00,DrinkingDominantHand
2016-11-19 12:36:10.600000-06:00,2016-11-19 12:36:12.100000-06:00,FeedingDominantHand
2016-11-19 12:36:27.400000-06:00,2016-11-19 12:36:30.800000-06:00,FeedingDominantHand
2016-11-19 12:37:16.400000-06:00,2016-11-19 12:37:19.300000-06:00,DrinkingDominantHand
2016-11-19 12:37:26.700000-06:00,2016-11-19 12:37:28.900000-06:00,FeedingDominantHand
2016-11-19 12:37:44-06:00,2016-11-19 12:37:47.600000-06:00,DrinkingDominantHand
2016-11-19 12:37:58.500000-06:00,2016-11-19 12:37:58.600000-06:00,FeedingDominantHand
2016-11-19 12:38:15.900000-06:00,2016-11-19 12:38:19.300000-06:00,DrinkingDominantHand
2016-11-19 12:38:34.200000-06:00,2016-11-19 12:38:36.200000-06:00,FeedingDominantHand
2016-11-19 12:39:18.900000-06:00,2016-11-19 12:39:20.300000-06:00,FeedingDominantHand
2016-11-19 12:39:29.500000-06:00,2016-11-19 12:39:31-06:00,FeedingDominantHand
2016-11-19 12:39:34.700000-06:00,2016-11-19 12:39:35.900000-06:00,FeedingDominantHand
2016-11-19 12:39:49.600000-06:00,2016-11-19 12:39:54.100000-06:00,DrinkingDominantHand
2016-11-19 12:47:23.800000-06:00,2016-11-19 12:47:26.300000-06:00,FeedingDominantHand
2016-11-19 12:48:02.300000-06:00,2016-11-19 12:48:04.700000-06:00,FeedingDominantHand
2016-11-19 12:48:37.500000-06:00,2016-11-19 12:48:39.800000-06:00,DrinkingDominantHand
2016-11-19 12:48:57.900000-06:00,2016-11-19 12:48:59.700000-06:00,FeedingDominantHand
2016-11-19 12:49:20.100000-06:00,2016-11-19 12:49:23.800000-06:00,DrinkingDominantHand
2016-11-19 12:49:50.200000-06:00,2016-11-19 12:49:51.800000-06:00,DrinkingDominantHand
2016-11-19 12:50:55.900000-06:00,2016-11-19 12:50:58.800000-06:00,DrinkingDominantHand
