StartTime,EndTime,MainCategory
2016-12-04 11:47:55.900000,2016-12-04 11:47:59.300000,FeedingDominantHand
2016-12-04 11:48:12,2016-12-04 11:48:16.600000,FeedingDominantHand
2016-12-04 11:48:27.600000,2016-12-04 11:48:31.500000,FeedingDominantHand
2016-12-04 11:48:41.300000,2016-12-04 11:48:46.400000,FeedingDominantHand
2016-12-04 11:48:46.400000,2016-12-04 11:48:51,FeedingDominantHand
2016-12-04 11:48:51.400000,2016-12-04 11:48:57.300000,FeedingDominantHand
2016-12-04 11:48:59,2016-12-04 11:49:04.600000,FeedingDominantHand
2016-12-04 11:49:12.700000,2016-12-04 11:49:18.500000,FeedingDominantHand
2016-12-04 11:49:28.400000,2016-12-04 11:49:34.100000,FeedingDominantHand
2016-12-04 11:49:36.600000,2016-12-04 11:49:39.400000,FeedingDominantHand
2016-12-04 11:50:05.300000,2016-12-04 11:50:08.100000,FeedingDominantHand
2016-12-04 11:50:10.600000,2016-12-04 11:50:14.200000,FeedingDominantHand
2016-12-04 11:50:18.200000,2016-12-04 11:50:23.800000,FeedingDominantHand
2016-12-04 11:50:30.100000,2016-12-04 11:50:35.200000,FeedingDominantHand
2016-12-04 11:50:35.200000,2016-12-04 11:50:37.800000,FeedingDominantHand
2016-12-04 11:50:38.800000,2016-12-04 11:50:43.100000,FeedingDominantHand
2016-12-04 11:51:01.400000,2016-12-04 11:51:04.900000,FeedingDominantHand
2016-12-04 11:51:18.800000,2016-12-04 11:51:23.500000,FeedingDominantHand
2016-12-04 11:51:23.100000,2016-12-04 11:51:26.800000,FeedingDominantHand
2016-12-04 11:51:45.100000,2016-12-04 11:51:48.200000,FeedingNonDominantHand
2016-12-04 11:52:24.100000,2016-12-04 11:52:27.900000,FeedingDominantHand
2016-12-04 11:52:44.200000,2016-12-04 11:52:47.700000,FeedingDominantHand
2016-12-04 11:52:56.100000,2016-12-04 11:52:59.800000,FeedingDominantHand
2016-12-04 11:53:16.300000,2016-12-04 11:53:19.300000,FeedingDominantHand
2016-12-04 11:53:29.800000,2016-12-04 11:53:33.300000,FeedingDominantHand
2016-12-04 11:53:39.500000,2016-12-04 11:53:42.900000,FeedingDominantHand
2016-12-04 11:53:47.600000,2016-12-04 11:53:51,FeedingDominantHand
2016-12-04 11:53:58.900000,2016-12-04 11:54:04.100000,FeedingDominantHand
2016-12-04 11:54:05.300000,2016-12-04 11:54:07.600000,FeedingDominantHand
2016-12-04 11:54:09.400000,2016-12-04 11:54:14.500000,FeedingDominantHand
2016-12-04 11:54:27.400000,2016-12-04 11:54:29.500000,FeedingNonDominantHand
2016-12-04 11:54:56.600000,2016-12-04 11:55:01,FeedingDominantHand
2016-12-04 11:55:13.700000,2016-12-04 11:55:16.300000,FeedingDominantHand
2016-12-04 11:55:35.800000,2016-12-04 11:55:38.900000,FeedingDominantHand
2016-12-04 11:55:57,2016-12-04 11:56:00,FeedingDominantHand
2016-12-04 11:56:17.100000,2016-12-04 11:56:20,FeedingDominantHand
2016-12-04 11:56:29.900000,2016-12-04 11:56:32.900000,FeedingDominantHand
2016-12-04 11:57:20,2016-12-04 11:57:22.500000,FeedingDominantHand
2016-12-04 11:58:09.400000,2016-12-04 11:58:11.700000,FeedingDominantHand
2016-12-04 11:59:11.100000,2016-12-04 11:59:13.300000,FeedingDominantHand
2016-12-04 11:59:24.500000,2016-12-04 11:59:26.700000,FeedingDominantHand
2016-12-04 11:59:34.100000,2016-12-04 11:59:38.300000,FeedingDominantHand
2016-12-04 11:59:38.100000,2016-12-04 11:59:39.600000,FeedingDominantHand
2016-12-04 12:00:51.900000,2016-12-04 12:00:54.900000,FeedingDominantHand
2016-12-04 12:01:13.600000,2016-12-04 12:01:16.400000,FeedingDominantHand
2016-12-04 12:01:26.200000,2016-12-04 12:01:29,FeedingDominantHand
2016-12-04 12:01:32.400000,2016-12-04 12:01:35,FeedingDominantHand
2016-12-04 12:01:41,2016-12-04 12:01:42.500000,FeedingDominantHand
2016-12-04 12:01:42.200000,2016-12-04 12:01:45.200000,DrinkingNonDominantHand
2016-12-04 12:01:47.600000,2016-12-04 12:01:49.500000,FeedingDominantHand
2016-12-04 12:01:50.900000,2016-12-04 12:01:52,FeedingDominantHand
